New_Member?,Pledge_Status,Candidate_ID,CRPName,Party,District,General_Elec_Result,VotePercent,Total_PAC_Money,Number_of_PAC_Contributions,Business_PACs,Labor_PACs,Ideological_PACs,Lead_PACs,Other_PACs,Net_Receipts,Net_Individual_Total,Candidate_Contributions,Large_Indivs,Small_Indivs,Net_Spent
NO,PAC,N00001373,Mike Doyle (D),D,PA18,W,100.00,648639,344,457000,173000,13639,5000,0,888214,175218,0,170882,4336,819348
NO,PAC,N00038809,Vicente Gonzalez (D),D,TX15,W,59.70,653328,390,456133,140000,41795,15400,0,1288414,594199,0,583118,11081,370729
NO,PAC,N00027060,Brian M Higgins (D),D,NY26,W,73.10,599898,409,448949,138850,6599,5500,0,977214,406475,0,360474,46001,792145
NO,PAC,N00033932,Chris Stewart (R),R,UT02,W,56.10,497711,363,446711,15000,8000,28000,0,900522,382213,0,351419,30793,800277
NO,PAC,N00030752,Jeff Duncan (R),R,SC03,W,67.80,504561,338,444731,2500,37330,20000,0,825165,317694,0,218461,99232,635732
NO,PAC,N00024817,Doug Jones (D),D,ALS1,L,NA,817452,377,442250,149000,68731,156471,1000,24436459,24051138,0,10366283,13684853,22271410
NO,PAC,N00034349,Filemon Vela (D),D,TX34,W,60.00,561243,352,440650,98500,9393,12700,0,1014611,419954,0,415990,3964,626843
NO,PAC,N00005195,Roy Blunt (R),R,MOS1,L,NA,469150,275,438650,23500,5500,0,1500,16234932,9616306,0,9263896,552415,15598876
NO,PAC,N00037515,Tom O'Halleran (D),D,AZ01,W,53.80,985777,622,437727,195000,145250,207300,500,2371428,1389078,0,1196778,192300,1985598
NO,PAC,N00006690,Maxine Waters (D),D,CA43,W,76.40,537351,252,436590,71000,19261,10500,0,1307107,515847,0,446998,68848,886869
NO,PAC,N00033640,Hakeem Jeffries (D),D,NY08,W,94.10,631016,370,436000,166917,27099,1000,0,1590774,822643,0,800929,21715,1286910
NO,PAC,N00035516,David Perdue (R),R,GAS1,L,NA,466050,261,434150,7000,8500,15400,1000,16430111,9270318,3905127,8817302,453015,15231145
NO,PAC,N00029147,Andy Harris (R),R,MD01,W,60.00,518567,314,432917,18500,27250,39900,0,1541412,1017056,0,857429,159627,1183657
NO,PAC,N00025482,Dutch Ruppersberger (D),D,MD02,W,66.00,549199,358,431850,109250,8099,0,0,941989,291416,0,257991,33425,836773
NO,PAC,N00036409,Glenn S Grothman (R),R,WI06,W,55.50,598866,408,430016,13000,58650,93200,4000,1840827,1193359,30000,1016926,176433,1237394
NO,PAC,N00042353,Tina Smith (D),D,MNS1,W,53.00,968281,386,428450,176500,82631,280700,0,8187412,6474639,5400,4036135,2438503,7258681
NO,NO PAC,N00027533,Sheldon Whitehouse (D),D,RIS1,W,61.40,967546,516,421142,167300,93724,282880,2500,6419135,4855720,0,4602744,252971,5188817
NO,PAC,N00030602,Roger Williams (R),R,TX25,W,53.60,438702,242,418952,2250,4500,11000,2000,1524304,293797,0,286635,7162,1423253
NO,PAC,N00007335,Anna Eshoo (D),D,CA18,W,72.60,493980,307,415480,68000,8000,2500,0,1326275,811049,0,758176,52873,1147886
YES,PAC,N00004614,Kevin Cramer (R),R,NDS2,W,55.40,731100,258,409900,1000,54200,266000,0,5531588,3451705,0,2994592,457113,4951051
NO,PAC,N00030770,Rick Crawford (R),R,AR01,W,69.00,461688,305,407250,2000,13157,39281,0,973708,505171,0,456975,48196,765218
