New_Member?,Pledge_Status,Candidate_ID,CRPName,Party,District,General_Elec_Result,VotePercent,Total_PAC_Money,Number_of_PAC_Contributions,Business_PACs,Labor_PACs,Ideological_PACs,Lead_PACs,Other_PACs,Net_Receipts,Net_Individual_Total,Candidate_Contributions,Large_Indivs,Small_Indivs,Net_Spent
NO,PAC,N00030836,Rand Paul (R),R,KYS2,L,NA,62513,37,46100,0,16413,0,0,11202157,7874668,0,3524298,4350358,11053166
YES,PAC,N00041954,Jim Baird (R),R,IN04,W,64.10,104250,55,44250,0,22000,38000,0,527645,153347,221100,137876,15471,407129
NO,PAC,N00029303,Jeff Merkley (D),D,ORS1,L,NA,52432,40,43732,8700,0,0,0,14146502,12033077,0,6008969,6024096,13130086
NO,NO PAC,N00038858,Pramila Jayapal (D),D,WA07,W,83.60,290084,166,42884,192500,37200,17500,0,2050604,1715222,0,1323497,391725,1303602
YES,PAC,N00041599,John Rose (R),R,TN06,W,69.50,43200,22,41200,0,1000,1000,0,2892201,748701,250000,736211,12490,2831631
YES,NO PAC,N00040933,Debra Haaland (D),D,NM01,W,59.00,277390,150,35450,68000,93240,76700,4000,1928396,1613749,3005,1260471,353278,1785368
YES,PAC,N00035491,Mark Harris (R),R,NC09,W,49.40,162200,73,35400,0,36800,90000,0,1841836,1495930,4005,1335533,160397,1675653
YES,PAC,N00042894,Madeleine Dean (D),D,PA04,W,63.50,206175,99,35250,80957,47968,42000,0,1217989,587198,229429,499401,87797,1087976
NO,NO PAC,N00036915,Kamala D Harris (D),D,CAS1,L,NA,30626,33,35121,-1000,-3495,0,0,21500969,19802613,0,12806040,6996568,19786038
YES,PAC,N00043541,Denver Riggleman (R),R,VA05,W,53.20,103650,38,34000,0,16250,53400,0,1405852,1203589,0,1079160,124429,976505
YES,PAC,N00042114,Jesus Garcia (D),D,IL04,W,86.60,249083,96,33550,122500,37033,56000,0,793680,493544,0,406059,87484,758462
YES,PAC,N00040915,Haley Stevens (D),D,MI11,W,51.80,341905,157,31800,111933,91546,106626,0,3556174,2789464,0,2249032,540432,3086490
YES,NO PAC,N00042467,Xochitl Torres Small (D),D,NM02,W,50.70,459399,215,31000,117500,158850,152049,0,3791739,3097880,0,2442646,655234,2788545
YES,NO PAC,N00041385,Anthony Brindisi (D),D,NY22,W,50.30,400372,192,28750,158500,91172,121950,0,3815054,2900111,0,1915277,984834,3522202
YES,NO PAC,N00041606,Kim Schrier (D),D,WA08,W,52.40,123683,46,27000,49000,33183,14500,0,6928581,6122951,5400,4843634,1279317,5365208
YES,PAC,N00042706,Mary Gay Scanlon (D),D,PA05,W,63.20,103802,45,26000,24000,23562,30240,0,1784378,1211840,0,1082301,129539,1367869
YES,PAC,N00041594,Tim Burchett (R),R,TN02,W,65.90,55500,29,25500,2500,4000,23500,0,967915,895394,0,892025,3369,786676
YES,NO PAC,N00043421,Jahana Hayes (D),D,CT05,W,55.80,261599,116,24500,62000,82049,93050,0,1599389,1282638,0,955379,327259,791989
YES,PAC,N00025882,Ed Case (D),D,HI01,W,70.30,29000,10,24000,5000,0,0,0,561545,338059,151286,286707,51352,481431
NO,PAC,N00013820,Chris Van Hollen (D),D,MDS2,L,NA,18510,30,22510,-5000,0,0,1000,12318234,8909581,0,7986549,923029,12094512
NO,PAC,N00009920,Richard C Shelby (R),R,ALS2,L,NA,17500,28,19500,0,-2000,0,0,4123729,1728741,0,1718186,10555,11962380
NO,NO PAC,N00041870,Conor Lamb (D),D,PA17,W,56.30,520297,219,19000,306550,86244,108503,0,8761547,7996132,0,3970093,4026039,8034551
NO,NO PAC,N00033281,Tulsi Gabbard (D),D,HI02,W,74.00,35900,48,17900,11000,6000,1000,0,1314395,1302148,0,783291,518857,1270906
YES,NO PAC,N00041997,Susan Wild (D),D,PA07,W,53.50,353255,169,16750,86620,142864,107021,0,2844401,1968933,18598,1504029,464904,2326095
NO,PAC,N00037615,Jenniffer Gonzalez (3),3,PR00,L,NA,26700,20,13700,2000,4000,7000,0,88099,63399,0,63399,0,58738
YES,NO PAC,N00041357,Elissa Slotkin (D),D,MI08,W,50.60,270886,127,12500,91000,87447,79939,0,6205628,4704387,10200,3907888,796498,5205871
YES,NO PAC,N00040876,Jason Crow (D),D,CO06,W,54.10,255763,142,12500,58500,103077,81686,0,5083535,3762287,0,3068790,693497,4486017
YES,NO PAC,N00041370,Andy Kim (D),D,NJ03,W,49.90,446039,221,12000,114500,184939,134600,0,5188169,4200825,1260,3244842,955983,4434098
YES,PAC,N00042013,Ben McAdams (D),D,UT04,W,50.10,258282,108,12000,139000,49832,57450,0,2850479,2511075,0,2006181,504893,2612518
NO,PAC,N00031938,Justin Amash (R),R,MI03,W,54.40,44426,35,12000,0,24036,8390,0,608896,563365,0,490982,72382,583533
NO,NO PAC,N00033492,Elizabeth Warren (D),D,MAS1,W,60.30,342173,126,11500,158275,55898,116500,0,34114040,29600511,0,10587636,19012867,20475491
YES,NO PAC,N00028122,TJ Cox (D),D,CA21,W,48.60,212083,89,10000,47000,83683,71400,0,2476853,1718989,265500,1250844,468145,2245310
YES,NO PAC,N00040865,Katie Porter (D),D,CA45,W,51.90,197550,99,9500,19000,93750,75300,0,5833764,4771528,258,3392222,1379306,5322914
YES,PAC,N00000286,Mitt Romney (R),R,UTS1,W,62.60,9000,19,9000,0,0,0,0,5144278,3967444,0,3566112,401332,4650674
YES,PAC,N00037039,Angie Craig (D),D,MN02,W,52.80,372569,168,8500,121000,130499,112570,0,4658540,3264959,27981,2400255,864704,3593052
YES,NO PAC,N00040741,Antonio Delgado (D),D,NY19,W,50.20,316937,155,8000,51500,145437,112000,0,7847726,7027556,0,5929542,1098014,7081167
YES,PAC,N00041561,Debbie Mucarsel-Powell (D),D,FL26,W,50.90,263768,124,7500,42500,117668,96100,0,3747706,2739025,1000,2235273,503752,3529599
YES,NO PAC,N00042293,Elaine Luria (D),D,VA02,W,51.10,180724,87,7500,36500,71724,65000,0,3585621,2456938,5360,1896896,560042,2671313
YES,NO PAC,N00041668,Jared Golden (D),D,ME02,W,50.60,266951,113,7000,104000,84901,71050,0,4615990,4118928,1000,3208077,910852,4166272
YES,NO PAC,N00042813,Lucy McBath (D),D,GA06,W,50.50,188805,88,6500,18433,97972,65900,0,1791661,1561103,653,1047453,513651,1226839
YES,NO PAC,N00041104,Cindy Axne (D),D,IA03,W,49.00,251042,119,6000,63500,84141,97401,0,4331158,3562172,24082,2810920,751252,3426863
YES,NO PAC,N00040666,Harley Rouda (D),D,CA48,W,52.20,203550,93,6000,47750,65000,84800,0,6771526,5013594,1138955,3668971,1344623,6042927
NO,NO PAC,N00026427,Ro Khanna (D),D,CA17,W,74.60,16500,13,5500,5000,4000,2000,0,2622022,2630917,0,2484581,146336,1753566
YES,PAC,N00041338,Sean Casten (D),D,IL06,W,53.60,184295,97,5000,30500,65995,81800,1000,5320441,4352174,630000,3384947,967227,4121164
YES,PAC,N00041002,Jennifer Wexton (D),D,VA10,W,56.10,151333,77,5000,51000,39533,55800,0,5387365,5016756,0,3910952,1105804,4256873
YES,PAC,N00041194,Lizzie Fletcher (D),D,TX07,W,52.50,224838,105,5000,30145,103043,86650,0,5325090,4623042,18495,3875678,747364,4591888
YES,NO PAC,N00041588,Max Rose (D),D,NY11,W,52.80,137508,80,5000,2500,69508,60500,0,4111078,3409698,538,2955652,454046,3052422
YES,NO PAC,N00041418,Abigail Spanberger (D),D,VA07,W,50.30,135224,66,5000,25500,51874,52850,0,5894232,5071276,0,3940814,1130462,5303695
YES,NO PAC,N00041843,Tom Malinowski (D),D,NJ07,W,51.50,264974,127,5000,47500,98774,113700,0,5234360,4277982,0,3721902,556079,4400085
YES,PAC,N00041569,Lauren A Underwood (D),D,IL14,W,52.50,192083,108,4500,20000,77482,87601,2500,3957261,3332911,9390,2371385,961526,2786072
NO,NO PAC,N00007836,Maria Cantwell (D),D,WAS1,W,58.40,62103,82,4097,32000,26006,0,0,11472912,11151375,0,8253502,2897864,8230971
NO,PAC,N00007635,Amata Coleman Radewagen (R),R,AS00,W,0.00,43750,25,3500,0,1250,39000,0,142915,96015,1000,91600,4415,146035
YES,NO PAC,N00040667,Mike Levin (D),D,CA49,W,55.00,289829,140,3500,60250,133979,92100,0,5523900,4496716,11526,3299506,1197210,4694259
YES,NO PAC,N00042161,Chris Pappas (D),D,NH01,W,53.50,62555,26,3500,24000,18540,16515,0,1869153,1482033,16759,989212,492821,1210565
YES,NO PAC,N00040644,Katie Hill (D),D,CA25,W,52.60,244941,124,3000,20250,129691,92000,0,7269115,6121829,13938,4588952,1532877,5891575
YES,NO PAC,N00041808,Lori Trahan (D),D,MA03,W,62.00,20000,5,2500,17500,0,0,0,2023016,1393136,378728,1240715,152421,1708115
YES,NO PAC,N00042649,Rashida Tlaib (D),D,MI13,W,84.20,88569,45,2500,33500,42569,10000,0,1592223,1478263,0,1227513,250751,1463894
NO,PAC,N00030418,Gregorio Sablan (I),I,MP00,W,0.00,54000,28,2000,19500,21500,11000,0,111633,51542,0,48297,3245,88890
YES,NO PAC,N00041134,Dean Phillips (D),D,MN03,W,55.70,14384,17,750,5000,4500,4134,0,5236635,4375988,844330,3442777,933211,5003760
YES,NO PAC,N00041162,Alexandria Ocasio-Cortez (D),D,NY14,W,78.00,41489,26,0,16500,24489,500,0,1827690,1817011,0,684762,1132249,1266162
YES,NO PAC,N00040989,Colin Allred (D),D,TX32,W,52.20,171418,81,0,50000,58218,63200,0,4918539,4145529,25000,3298812,846717,3532712
YES,NO PAC,N00041394,Kendra Horn (D),D,OK05,W,50.70,30500,15,0,30500,0,0,0,1015995,961579,0,781322,180257,917295
YES,NO PAC,N00041400,Joe Cunningham (D),D,SC01,W,50.60,10608,12,0,0,9608,1000,0,1908175,1900221,0,1447910,452311,1610079
YES,NO PAC,N00041464,Gil Cisneros (D),D,CA39,W,51.50,69200,49,0,17000,37900,14300,0,11126339,1871443,8852762,1392199,479245,10494157
YES,NO PAC,N00040853,Josh Harder (D),D,CA10,W,51.30,166358,68,0,50000,61558,54800,0,7003682,6228961,0,4839415,1389546,6161067
YES,NO PAC,N00039122,David Trone (D),D,MD06,W,59.00,599,7,0,0,599,0,0,16524302,542799,15983172,527572,15227,15866244
YES,NO PAC,N00043581,Ilhan Omar (D),D,MN05,W,78.20,13500,4,0,5000,7500,1000,0,790460,697326,0,465020,232306,672665
YES,NO PAC,N00042581,Ayanna Pressley (D),D,MA07,W,0.00,14000,6,0,10000,4000,0,0,1262506,1189632,0,912087,277546,1155959
YES,PAC,N00042626,Sharice Davids (D),D,KS03,W,53.60,17000,9,0,0,12500,4500,0,3968912,3361753,0,2376936,984817,3436462
NO,NO PAC,N00027751,John Sarbanes (D),D,MD03,W,69.10,0,10,0,0,599,0,0,894361,897277,0,865445,31832,661048
NO,NO PAC,N00000528,Bernie Sanders (I),I,VTS1,W,70.00,117700,38,0,64700,18000,35000,0,10293878,10129466,0,2229948,7899516,5223586
NO,NO PAC,N00040007,Francis Rooney (R),R,FL19,W,62.30,0,71,0,0,0,0,0,697653,484974,170000,470365,14609,893942
z,NO PAC,N00028463,Phil Roe (R),R,TN01,W,77.10,10000,23,0,0,15500,0,1000,357099,337099,0,306418,30681,588015
